file_size,total_time_taken,average_time_taken
429,0.073256,0.00017075990675990675
430,0.0545,0.00012674418604651162
431,0.047665,0.00011059164733178653
432,0.04157,9.622685185185186e-05
433,0.040519,9.357736720554272e-05
434,0.044504,0.00010254377880184332
435,0.049752,0.00011437241379310344
436,0.038456,8.820183486238531e-05
437,0.051702,0.0001183112128146453
438,0.037381,8.534474885844749e-05
439,0.038561,8.78382687927107e-05
440,0.037461,8.513863636363637e-05
441,0.05168,0.00011718820861678004
442,0.043603,9.864932126696833e-05
443,0.044827,0.00010118961625282166
444,0.054761,0.00012333558558558558
445,0.050899,0.00011437977528089887
446,0.069999,0.00015694843049327356
447,0.063999,0.0001431744966442953
448,0.073294,0.00016360267857142856
449,0.071964,0.0001602761692650334
450,0.064965,0.00014436666666666666
451,0.052736,0.00011693126385809313
452,0.071953,0.00015918805309734515
453,0.073212,0.0001616158940397351
454,0.057815,0.00012734581497797357
455,0.055556,0.0001221010989010989
456,0.061689,0.0001352828947368421
457,0.069082,0.000151164113785558
458,0.054727,0.00011949126637554585
459,0.044562,9.708496732026143e-05
460,0.051714,0.0001124217391304348
461,0.059872,0.00012987418655097615
462,0.073045,0.0001581060606060606
463,0.061984,0.00013387473002159827
464,0.071005,0.00015302801724137932
465,0.05368,0.00011544086021505376
466,0.078194,0.00016779828326180259
467,0.059042,0.00012642826552462525
468,0.059838,0.00012785897435897437
469,0.043753,9.328997867803838e-05
470,0.039595,8.424468085106383e-05
471,0.044519,9.452016985138005e-05
472,0.046711,9.896398305084747e-05
473,0.049943,0.0001055877378435518
474,0.055666,0.00011743881856540084
475,0.044808,9.433263157894738e-05
476,0.072237,0.00015175840336134454
477,0.047461,9.949895178197066e-05
478,0.046217,9.668828451882845e-05
479,0.062663,0.00013082045929018788
480,0.055773,0.00011619375
481,0.057352,0.00011923492723492723
482,0.046599,9.667842323651453e-05
483,0.041164,8.52256728778468e-05
484,0.049645,0.00010257231404958678
485,0.067704,0.0001395958762886598
486,0.053999,0.00011110905349794239
